N,mse_beta_0.5,mse_beta_1,mse_beta_2,mse_cm
1,0.007550634474804004,0.00735879911420246,0.014787628191212814,0.0042646215995773675
3,0.0059931495692580935,0.004352251944753031,0.005940125401442249,0.0042646215995773675
5,0.00564070555071036,0.0036835204577073456,0.0040666257264092565,0.0042646215995773675
10,0.0053587043502678474,0.003182823684376975,0.002800913725513965,0.0042646215995773675
15,0.005326633326088389,0.003063767046357195,0.0023302058650491136,0.0042646215995773675
20,0.005286041026314099,0.0030039218409607807,0.0021835069288499652,0.0042646215995773675
30,0.005234652291983366,0.002931144911174973,0.002022403239971027,0.0042646215995773675
40,0.005205348894620935,0.002878057095222175,0.0019087941288792839,0.0042646215995773675
50,0.0051809273815403385,0.0028291542703906694,0.0017986695495589326,0.0042646215995773675
100,0.005173459105814497,0.002797133242711425,0.0016555697763881957,0.0042646215995773675
