N,mse_beta_0.5,mse_beta_1,mse_beta_2,mse_cm
1,0.008102946449071169,0.007861761733268698,0.015191892410318058,0.004382108834882577
3,0.006391331475848953,0.004741342699465652,0.0062412905739620324,0.004382108834882577
5,0.006035808706656098,0.004128061692851285,0.004614896769635379,0.004382108834882577
10,0.0057589024926225345,0.0036216255665446322,0.003291126154363155,0.004382108834882577
15,0.005657010556509097,0.0034306816135843596,0.0028081790815728406,0.004382108834882577
20,0.005597953669105967,0.0033264580570782224,0.002574174905506273,0.004382108834882577
30,0.005562705934668581,0.0032464056586225826,0.00232294894522056,0.004382108834882577
40,0.005565632522727053,0.003243609587661922,0.0022702536972550053,0.004382108834882577
50,0.00554311069039007,0.0032077486626803874,0.0021979377643826107,0.004382108834882577
100,0.0055095124524086716,0.003149057272821665,0.0020361750037409367,0.004382108834882577
