triplet_idx,speakers,mixture_group,cosine_distance,mse
0,5808+6529+1963,5808+6529+1963 (s1+s2+s3),0.06772547238767623,0.0002541547582950443
1,1594+2416+1723,1594+2416+1723 (s1+s2+s3),0.11193042994666014,0.0004741268639918417
2,1743+118+5514,1743+118+5514 (s1+s2+s3),0.07962666285007025,0.00024150819808710366
3,8975+1578+5393,8975+1578+5393 (s1+s2+s3),0.09810107244732047,0.00047411094419658184
4,248+26+1098,248+26+1098 (s1+s2+s3),0.09346991032831076,0.00037911112303845584
5,6848+4830+445,6848+4830+445 (s1+s2+s3),0.15902197377023375,0.0007095244363881648
6,6836+2514+6415,6836+2514+6415 (s1+s2+s3),0.09578531432532711,0.00031337584368884563
7,40+89+60,40+89+60 (s1+s2+s3),0.11424914084806015,0.0003429604403208941
8,1116+5022+2893,1116+5022+2893 (s1+s2+s3),0.13581863854840193,0.0005061561823822558
9,2289+83+6181,2289+83+6181 (s1+s2+s3),0.10234505742167754,0.00029555687797255814
