backbone,alpha,mean_cos_sim,beta,mean_mse
campplus,0.0,0.6730058088506546,0.0,0.002426881841977043
campplus,0.1,0.7356619398629812,0.1,0.00170099180201475
campplus,0.2,0.7993905737896775,0.2,0.0011345893671264838
campplus,0.30000000000000004,0.8576061334184462,0.30000000000000004,0.0007276745373122442
campplus,0.4,0.9006161974190569,0.4,0.00048024731257203124
campplus,0.5,0.9183435004491769,0.5,0.000392307692905845
campplus,0.6000000000000001,0.9056984115080016,0.6000000000000001,0.0004638556783136855
campplus,0.7000000000000001,0.8661352002952423,0.7000000000000001,0.0006948912687955524
campplus,0.8,0.8092385155542122,0.8,0.0010854144643514464
campplus,0.9,0.7452092745077639,0.9,0.0016354252649813667
campplus,1.0,0.6813898623645226,1.0,0.0023449236706853138
ecapa,0.0,0.687739977689707,0.0,0.002446648246547673
ecapa,0.1,0.7433549359982412,0.1,0.0017325546006273966
ecapa,0.2,0.7979774780048811,0.2,0.0011794753051462543
ecapa,0.30000000000000004,0.8460698689991318,0.30000000000000004,0.0007874103601042455
ecapa,0.4,0.8803890059483256,0.4,0.0005563597655013705
ecapa,0.5,0.8941144276978592,0.5,0.00048632352133762974
ecapa,0.6000000000000001,0.8841143727118903,0.6000000000000001,0.0005773016276130229
ecapa,0.7000000000000001,0.8527838708908442,0.7000000000000001,0.0008292940843275499
ecapa,0.8,0.8065957715675808,0.8,0.0012423008914812111
ecapa,0.9,0.7528753875322599,0.9,0.0018163220490740053
ecapa,1.0,0.6974518447131675,1.0,0.0025513575571059336
